id,document,label
2017.06.09.,"""바이오 투자 더 늘릴 계획""",3
2017.06.15.,"[BioS] 바이오CEO, 새 정부에 바라는 1st ""연대보증제 폐지""",3
2017.06.15.,"[BioS] 일자리 부족하다는데..바이오CEO 95% ""일할 사람 부족""",3
2017.07.21.,파킨슨병은 장(腸}에서 시작했다?,3
2017.07.26.,"동아에스티, 개방형 협력으로 혁신 신약 개발",3
2017.08.30.,"에이비엘바이오, '이중항체' 항암신약 국내임상 돌입",3
2017.09.01.,"에이비엘바이오, 이중항체 고형암 신약 임상 1상 돌입",3
2017.09.13.,"바이오 메카 '인천', '2017 바이오플러스인천' 개최",3
2017.09.13.,"한국바이오협회ㆍ인천시, '2017 바이오플러스인천' 컨퍼런스 진행",3
2017.09.14.,"""바이오 신사업 규제 최소화…도전적인 R&D 장려하겠다""",3
2017.10.11.,"제약·바이오 업계, 각광받는 차세대 기술 '이중항체' 개발 집중",3
2017.10.26.,"[도약하는 K바이오] 블록버스터 신약 무대 ""주인공은 나야 나 ~""",3
2017.11.06.,"동아에스티, 병원·학계 공동연구…연구역량 강화",3
2017.11.30.,"[더벨]저성장 시대, 성장기업 발굴 '전문가'",3
2017.12.07.,2017 재미한인제약인 협회SF(KASBP-SF) 심포지엄,3
2018.01.03.,실력 갖춘 제약·바이오기업 상장 몰려온다,3
2018.01.10.,제약·바이오기업 상장 열기 뜨겁다…올해 10곳 이상 상장,3
2018.01.24.,"동아ST, ABL Bio와 면역항암-이중항체신약 라이선스 계약",3
2018.01.24.,"동아ST, 에이비엘바이오와 면역항암 이중항체신약 공동 개발 및 라이선스 계약",3
2018.01.24.,"동아ST-ABL바이오, 면역항암 이중항체신약 공동개발",3
2018.01.24.,"동아ST, ABL바이오 이중항체신약 도입…공동개발",3
2018.01.24.,"동아ST, 면역항암 이중항체 신약 공동개발 추진",3
2018.01.24.,"동아에스티, ABL Bio와 면역항암 이중항체신약 공동 개발 및 라이선스 계약 체...",3
2018.01.24.,"동아에스티, ABL바이오와 면역항암 이중항체신약 기술도입 계약",3
2018.01.24.,"동아ST·ABL Bio, 면역항암 이중항체신약 개발·라이선스 계약",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 항체신약 공동 개발",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 이중항체신약 공동개발",3
2018.01.24.,"동아ST-ABL Bio, 면역항암 이중항체신약 공동개발한다",3
2018.01.24.,"동아에스티, ABL바이오의 이중항체 면역항암제 기술 도입",3
2018.01.24.,"동아ST, ABL Bio와 '면역항암 이중항체신약 공동 개발·라이센스' 계약 체결",3
2018.01.24.,"동아ST-에이비엘바이오, 바이오신약 공동개발",3
2018.01.24.,"동아에스티, ABL바이오와 면역항암신약 2종 공동개발",3
2018.01.24.,"동아ST, ABL바이오와 면역항암 이중항체신약 공동개발",3
2018.01.24.,"동아에스티, 에이비엘바이오 면역항암제 기술 이전받아 신약 개발",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 항체신약 공동 개발",3
2018.01.24.,"동아ST-ABL Bio, 면역항암 이중항체신약 공동 개발 협약",3
2018.01.24.,"동아ST, ABL Bio와 면역항암 이중항체신약 공동 개발 및 라이선스 계약 체결",3
2018.01.24.,"동아ST, ABL바이오와 면역항암 신약 공동개발 계약",3
2018.01.24.,"[특징주] 에이비엘바이오, 동아에스티와 면역항암제 공동개발·라이선스 계약",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 항체신약 공동 개발",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 이중항체신약 공동개발 계약 체결",3
2018.01.24.,"동아ST, 면역항암 이중항체신약 파이프라인 확보",3
2018.01.24.,"동아ST, 에이비엘바이오와 '면역항암제' 개발 협약",3
2018.01.24.,"동아ST, ABL Bio와 면역항암 이중항체신약 공동 개발 및 라이선스 계약",3
2018.01.24.,"동아에스티-ABL바이오, 면역항암 이중항체신약 공동개발",3
2018.01.24.,면역항암신약 공동개발 및 라이선스 계약 체결,3
2018.01.24.,"에이비엘바이오, 동아에스티와 이중항체 면역항암제 공동개발",3
2018.01.24.,"에이비엘바이오-동아에스티, 이중항체 면역항암제 공동개발 계약",3
2018.01.24.,"에이비엘바이오-동아에스티, 면역항암제 공동개발·라이선스 계약 체결",3
2018.01.24.,"동아ST-에이비엘바이오, 면역항암 항체 신약 공동 개발",3
2018.01.24.,"동아에스티, 에이비엘바이오 항암제 후보물질 판권 확보",3
2018.01.24.,"동아ST, ABL바이오와 면역항암 이중항체신약 공동개발",3
2018.01.24.,"동아에스티, ABL과 이중항체신약 공동개발 계약",3
2018.01.24.,"동아에스티, ABL바이오서 이중항체 항암 신약 후보물질 라이선스인",3
2018.01.24.,"동아ST-ABL Bio, 면역항암 이중항체신약 공동 개발",3
2018.01.24.,"동아에스티, 에이비엘바이오과 신약 공동개발 협약",3
2018.01.24.,"동아ST, ABL바이오와 면역항암제 공동 개발",3
2018.01.24.,"동아ST, ABL바이오와 면역항암 이중항체신약 공동 개발",3
